ID,Station Name,Street Address,City,ZIP,Latitude,Longitude,Location, # of Level1,#of level 2,Super chager,number of chager,Service ability(daily)
78085,Icon Parking - Tesla,80 Riverside Blvd,New York,10069,40.775213,-73.990506,"(40.775213, -73.990506)",,2,,2,32
53125,CARCHARGING,204 E 80th St,New York,10075,40.774703,-73.956695,"(40.774703, -73.956695)",,2,,2,32
74397,GGMC Parking - Tesla,50 E 79th St,New York,10075,40.775932,-73.961937,"(40.775932, -73.961937)",,2,,2,32
74412,iPark - Tesla,345 E 80th St,New York,10075,40.773495,-73.952328,"(40.773495, -73.952328)",,2,,2,32
74455,Parkright - Tesla,300 E 77th St,New York,10075,40.771657,-73.955668,"(40.771657, -73.955668)",,2,,2,32
81990,GGMC Parking - Tesla,415 E 79th St,New York,10075,40.772012,-73.951908,"(40.772012, -73.951908)",,2,,2,32
82014,iPark - Tesla,530 E 80th St,New York,10075,40.771321,-73.948174,"(40.771321, -73.948174)",,2,,2,32
89466,imPark - Tesla,422 E 79th St,New York,10075,40.771879,-73.951627,"(40.771879, -73.951627)",,2,,2,32
96485,GMC Parking - Continental Towers,301 East 79th Street,New York,10075,40.773472,-73.955287,"(40.773472, -73.955287)",,1,,1,16
56001,CARCHARGING,1 Pennsylvania Plaza,New York,10119,40.75147,-73.9927795,"(40.75147, -73.9927795)",1,1,,2,24
49582,CARCHARGING,215 E 96th St,New York,10128,40.78513,-73.947969,"(40.78513, -73.947969)",1,2,,3,40
74401,GGMC Parking - Tesla,340 E 94th St,New York,10128,40.782146,-73.946132,"(40.782146, -73.946132)",,2,,2,32
74446,Icon Parking - Tesla,536 E 88th St,New York,10128,40.776487,-73.944444,"(40.776487, -73.944444)",,2,,2,32
78092,RapidPark - Tesla,600 Columbus Ave,New York,10128,40.788716,-73.970934,"(40.788716, -73.970934)",,2,,2,32
78578,iPark - Tesla,200 E 94th St,New York,10128,40.783888,-73.950284,"(40.783888, -73.950284)",,2,,2,32
81994,GGMC Parking - Tesla,230 E 92nd St,New York,10128,40.782347,-73.950512,"(40.782347, -73.950512)",,2,,2,32
96488,Icon Parking - Claridge 87 Parking,200-206 E 88th Street,New York,10128,40.779901,-73.952675,"(40.779901, -73.952675)",,1,,1,16
51683,BEAM CHARGING,375 Park Ave,New York,10152,40.758462,-73.972211,"(40.758462, -73.972211)",,2,,2,32
75751,Icon Parking - Tesla,150 E 58th St,New York,10155,40.76161,-73.96775,"(40.76161, -73.96775)",,2,,2,32
52290,MP 225 LLC,225 Rector Pl,New York,10280,40.7092248,-74.0161545,"(40.7092248, -74.0161545)",,2,,2,32
67749,Quik Park - Tesla,70 Little W St,New York,10280,40.707074,-74.016491,"(40.707074, -74.016491)",,2,,2,32
89467,GGMC Parking - Tesla,99 Battery Pl,New York,10280,40.707738,-74.016845,"(40.707738, -74.016845)",,2,,2,32
89492,Standard Parking - Tesla,339 S End Ave,New York,10280,40.711145,-74.016332,"(40.711145, -74.016332)",,2,,2,32
99159,Greenlots - 92053,250 Vesey St,New York,10281,40.713828,-74.015909,"(40.713828, -74.015909)",,2,,2,32
99175,Greenlots - 92086,200 Liberty,New York,10281,40.710905,-74.015585,"(40.710905, -74.015585)",,2,,2,32
53451,CARCHARGING,325 North End Ave,New York,10282,40.71695,-74.014948,"(40.71695, -74.014948)",,1,,1,16
77132,ALBANESE ORG,95 North End Ave,New York,10282,40.7151023,-74.0163292,"(40.7151023, -74.0163292)",,2,,2,32
77133,ALBANESE ORG,20 River Terrace,New York,10282,40.716604,-74.016103,"(40.716604, -74.016103)",,2,1,3,64
